,Unnamed: 0,rating,reviewContent,clean_teks
4617,4617,5,"pengiriman  cepat, barang ori, respon penjual cepat",kirim cepat barang original respon jual cepat
4618,4618,5,mantul bgggttttttt tapi saya pesan 16GB jadi 12GB tapi tetep jossssss banget👍👍👍👍👍👍👍,mantul bgggttttttt pesan gb gb jossssss banget
4619,4619,5,sipp barang nya bisa,sipp barang nya
4620,4620,5,kren barangnya thank lazada,keren barang thank lazada
4621,4621,5,nan,nan
4622,4622,5,kualitas prodak baik pengiriman cpt mksh lazada,kualitas prodak kirim cepat terimakasih lazada
4623,4623,5,nan,nan
4624,4624,5,nan,nan
4625,4625,5,nan,nan
4626,4626,5,nan,nan
4627,4627,5,"barang nya dah di trima,,tp lum di coba semoga bagus ..",barang nya trimatp lum coba moga bagus
4628,4628,5,Mantap betul,mantap
4629,4629,5,siip.. bagus,siip bagus
4630,4630,5,nan,nan
4631,4631,5,nan,nan
4632,4632,5,nan,nan
4633,4633,4,"barang sampai bagus sesuai harapan, walaupun kendala di pengiriman lewat estimasi, its ok tq",barang bagus sesuai harap kendala kirim estimasi its ok terimakasih
4634,4634,5,flashdiak nya oke,flashdiak nya oke
4635,4635,4,Bagus,bagus
4636,4636,5,nan,nan
4637,4637,5,nan,nan
4638,4638,5,nan,nan
4639,4639,5,nan,nan
4640,4640,5,nan,nan
4641,4641,5,^,
4642,4642,5,nan,nan
4643,4643,5,nan,nan
4644,4644,5,cepet banget belum sehari barang udh saya terima,cepat banget hari barang terima
4645,4645,5,Barang sesuai seperti gambarnya...,barang sesuai gambar
4646,4646,5,barang oke cepet sampai,barang oke cepat
4647,4647,5,"Barang bagus, cuman bonusnya aja yg gak tertarik/gak kepake",barang bagus bonus tertarikgak pakai
4648,4648,5,nan,nan
4649,4649,4,barang bagus,barang bagus
4650,4650,4,Berfungsi dengan baik,fungsi
4651,4651,4,barang ny mantab bet,barang ny mantap banget
4652,4652,5,nan,nan
4653,4653,5,Terima kasih barangnya sudah sampai dan ada gantungan kuncinya puas deh buat ini toko,terima kasih barang gantung kunci puas deh toko
4654,4654,5,barang ok sesuai pesanan,barang ok sesuai pesan
4655,4655,5,produknya bagusss.. sy puasss,produk bagusss puasss
4656,4656,5,estimasi pengiriman lebih cpt,estimasi kirim cepat
4657,4657,5,sudah diterima dan sesuai dengan desc. thx gan maaf telat testinya,terima sesuai desc terimakasih juragan maaf telat testinya
4658,4658,5,berfungsi normal,fungsi normal
4659,4659,5,satu kata mantap,mantap
4660,4660,5,brg sesuai deskripsi,barang sesuai deskripsi
4661,4661,3,terlalu kecil,
